성명,주민번호,주소,전화번호,이동동선(통신사)
곽병철,831025-1342716,충청북도 동해시 논현1길 745-62 (영수허읍),018-711-7595,유성구→수성구 (LGU+)
곽선영,830409-2884229,대전광역시 구로구 오금거리 지하797 (영식김리),051-584-7609,서초구→해운대구 (KT)
문동현,620430-2178465,충청남도 남양주시 테헤란8거리 430,011-541-3297,강남구→성북구 (LGU+)
장지영,020105-1348273,울산광역시 서대문구 테헤란70거리 316-31,063-769-3663,남동구→유성구 (SKT)
강민준,621125-2834764,울산광역시 남구 봉은사로 154 (명숙김주읍),031-072-0245,수성구→유성구 (LGU+)
허정자,881001-2385166,서울특별시 동대문구 삼성0로 842-25,042-671-4949,서초구→남동구 (KT)
김은영,611107-1917823,전라북도 동두천시 서초중앙길 403-44 (영희송면),064-744-6634,서초구→해운대구 (LGU+)
김예원,900824-1272359,부산광역시 중구 테헤란로 153,070-1455-9376,성북구→수성구 (SKT)
남정남,890113-2226601,인천광역시 북구 가락5길 354 (동현홍면),055-277-6572,수성구→해운대구 (LGU+)
신정자,880511-2423284,경기도 안산시 선릉7거리 906,041-389-7432,남동구→서초구 (SKT)
황재현,910123-1265271,대전광역시 종로구 서초중앙길 341-88 (미정손지마을),016-360-7984,남동구→강남구 (LGU+)
권경희,710929-1976530,강원도 영월군 반포대935길 308 (은지장마을),051-640-8303,송파구→서초구 (SKT)
박영숙,760917-1473023,광주광역시 금천구 압구정490가 547,018-841-3685,노원구→강남구 (SKT)
윤건우,760907-2372804,인천광역시 강서구 봉은사길 지하174 (영숙이백읍),070-2514-4881,강남구→성북구 (KT)
김민석,020729-2682959,강원도 단양군 역삼7거리 지하513,010-7817-9415,노원구→해운대구 (LGU+)
이영숙,640608-1584487,서울특별시 동작구 학동길 165 (경자유면),02-5661-8632,송파구→서초구 (KT)
윤종수,921130-1164664,인천광역시 서구 잠실65거리 38-58,043-095-0556,송파구→남동구 (KT)
김숙자,780602-2490321,강원도 계룡시 석촌호수길 567,010-5190-5348,서초구→수성구 (LGU+)
이지혜,570731-1122859,대구광역시 강남구 개포4거리 지하77 (민준이이동),02-4521-2899,해운대구→노원구 (KT)
이미숙,680403-1196446,대전광역시 북구 역삼길 238 (예준홍마을),010-1898-4841,서초구→강남구 (SKT)
권경희,010823-2153097,강원도 태안군 강남대021로 110-62 (경숙이마을),033-429-8315,유성구→성북구 (KT)
윤영호,981225-2130914,세종특별자치시 중랑구 역삼길 698,064-749-3783,유성구→송파구 (SKT)
김정남,640806-2325146,대전광역시 광진구 석촌호수94거리 724 (영철조김동),055-934-2929,남동구→수성구 (KT)
장민수,561030-2255851,경기도 영동군 오금가 지하989,043-419-0310,해운대구→수성구 (KT)
이영길,620412-2532005,대전광역시 노원구 개포847길 399-46,043-377-4604,성북구→강남구 (LGU+)
박도윤,000213-1393366,세종특별자치시 구로구 논현14길 182,061-078-1975,송파구→성북구 (SKT)
김상철,981102-1773870,경상북도 군포시 서초중앙길 18-31 (준영민최읍),033-458-4148,해운대구→강남구 (LGU+)
신경자,830915-2919898,인천광역시 북구 강남대8길 4,041-058-6950,수성구→노원구 (LGU+)
김정호,910719-2460745,전라북도 충주시 석촌호수6거리 484 (지우이면),054-738-5736,노원구→수성구 (LGU+)
김명자,830809-2383572,충청남도 원주시 논현가 757,032-187-2333,강남구→유성구 (KT)
김건우,840928-1130726,광주광역시 관악구 논현5길 825-33,016-830-7482,강남구→노원구 (SKT)
한경숙,970922-2904092,경상북도 연천군 학동길 1,061-557-8201,해운대구→송파구 (LGU+)
최정숙,640807-1359896,충청남도 증평군 역삼길 136,052-707-3920,해운대구→수성구 (LGU+)
백상철,861007-1901164,울산광역시 광진구 역삼가 176 (도현김홍리),033-123-1261,유성구→수성구 (KT)
한민준,910307-1284654,세종특별자치시 동대문구 반포대가 286-41 (수민유안동),043-646-8719,수성구→유성구 (KT)
한지후,660701-1837623,세종특별자치시 서대문구 도산대길 819,041-308-9813,수성구→송파구 (LGU+)
김옥자,590721-1977340,대전광역시 금천구 역삼로 871 (성민안동),064-729-7168,노원구→남동구 (SKT)
권영길,890712-1614259,서울특별시 중구 압구정로 331-22 (민준김동),062-850-9025,서초구→강남구 (KT)
장주원,800626-1730889,광주광역시 강북구 학동길 553-62 (명숙백김읍),052-890-5670,강남구→노원구 (KT)
박경희,570410-1447848,인천광역시 서대문구 가락15거리 415 (서연김김면),064-735-5054,해운대구→송파구 (LGU+)
안영미,561201-2851763,세종특별자치시 중구 논현6가 791,016-822-1040,수성구→강남구 (KT)
문선영,810927-1254887,광주광역시 관악구 가락8가 529-25,055-381-6432,송파구→서초구 (LGU+)
김영순,890509-2176054,제주특별자치도 아산시 선릉20길 378,070-8631-4417,유성구→서초구 (SKT)
류수빈,041115-2416423,충청북도 광주시 양재천2가 지하739 (정호장이동),018-176-4644,송파구→해운대구 (SKT)
성옥자,010706-2930307,인천광역시 송파구 영동대길 532,042-452-7905,성북구→수성구 (LGU+)
임도윤,980414-1841535,충청남도 고양시 일산동구 영동대길 602-41,019-163-2111,수성구→해운대구 (LGU+)
박예은,990804-1496764,서울특별시 동작구 언주로 222,041-653-0601,남동구→송파구 (SKT)
허은영,800713-1864234,울산광역시 성동구 서초대88로 214 (혜진김동),053-618-2980,유성구→강남구 (KT)
이영수,900817-1731650,광주광역시 서구 선릉로 지하402 (수민이손동),052-911-8941,해운대구→서초구 (SKT)
김영숙,790216-2247475,대구광역시 강동구 논현2길 518,041-137-4556,서초구→남동구 (SKT)
김광수,921029-2435039,대구광역시 구로구 도산대05길 439 (현숙서박동),033-260-0308,서초구→유성구 (KT)
이영숙,851005-2111949,울산광역시 광진구 학동31길 920-44,054-068-8269,해운대구→남동구 (SKT)
강영식,930912-1467506,충청남도 고성군 양재천013거리 813-68,062-354-3788,서초구→강남구 (SKT)
김상호,731114-1504684,서울특별시 성동구 반포대090거리 725-9,052-492-0749,유성구→송파구 (SKT)
이은서,831229-2617033,경상북도 태안군 잠실997로 149-69 (서윤윤최읍),053-914-0849,수성구→성북구 (SKT)
우서연,630918-1969067,강원도 안산시 단원구 양재천길 578,010-0690-8726,해운대구→송파구 (SKT)
박영자,000402-2177289,충청북도 진천군 양재천길 226 (영숙조이읍),064-728-0405,남동구→강남구 (KT)
손미영,620117-2373812,전라남도 수원시 팔달구 개포거리 445 (상철최최면),061-130-8761,서초구→유성구 (KT)
임민서,640626-1493696,대전광역시 강동구 강남대길 555 (영진안면),064-740-0273,서초구→송파구 (KT)
장영일,850527-2722886,강원도 성남시 중원구 개포길 685 (은지이동),031-168-0941,성북구→강남구 (LGU+)
조준호,710304-2785386,경상북도 안산시 상록구 석촌호수가 52 (영수이김리),062-794-6207,유성구→송파구 (KT)
서지연,751011-1206176,충청북도 양평군 잠실로 945-50,031-299-1406,해운대구→남동구 (SKT)
장수민,040407-2831063,충청남도 홍천군 학동길 733,042-356-1781,노원구→남동구 (LGU+)
김현준,010126-2411847,부산광역시 동작구 압구정가 지하225,061-385-2778,서초구→강남구 (KT)
이미영,651129-2699544,광주광역시 도봉구 석촌호수2거리 885-51,052-801-6440,성북구→송파구 (LGU+)
김상훈,591218-1478356,제주특별자치도 부천시 반포대가 938-24 (경수김동),063-982-1348,유성구→서초구 (KT)
이은경,720217-2963918,경상남도 과천시 언주318길 419 (정웅최리),070-0798-6617,성북구→해운대구 (LGU+)
김준호,800207-1126985,제주특별자치도 평택시 영동대로 148-11 (성훈강면),018-216-5058,송파구→수성구 (KT)
심정순,750608-1596574,강원도 인제군 학동길 408,062-908-9843,남동구→성북구 (KT)
강성민,820831-2612855,대구광역시 광진구 삼성로 679-70,061-948-4249,남동구→서초구 (LGU+)
서영일,861120-2293862,광주광역시 은평구 가락870가 946,042-386-7673,유성구→수성구 (SKT)
우서연,020530-1567429,전라북도 수원시 장안구 백제고분로 626 (준영김강리),064-772-2589,남동구→노원구 (KT)
지광수,870804-2376195,서울특별시 서대문구 오금길 713-35 (영미문리),055-957-9001,남동구→강남구 (KT)
배민준,921107-1888775,광주광역시 강북구 서초대가 404 (성민류마을),052-232-8946,서초구→송파구 (LGU+)
김현정,820821-2947438,대전광역시 서대문구 강남대로 546,053-725-6292,유성구→해운대구 (LGU+)
최준호,660212-1981639,부산광역시 성북구 잠실가 27 (미숙곽하마을),053-095-7443,노원구→유성구 (SKT)
이우진,990719-2700534,부산광역시 강서구 역삼3거리 276,031-153-6415,성북구→남동구 (KT)
김준영,650205-1513982,충청북도 포천시 선릉가 244-55,062-500-9421,강남구→해운대구 (LGU+)
황도현,940517-1893969,경상남도 의정부시 석촌호수가 620,070-2704-5238,송파구→해운대구 (SKT)
고순자,630131-1947732,전라남도 공주시 선릉5가 453-36,052-227-5854,송파구→강남구 (KT)
이은서,031222-2182175,광주광역시 동대문구 양재천로 지하832 (현지김남동),031-024-5393,유성구→해운대구 (LGU+)
김재현,961124-1974625,대전광역시 남구 학동0거리 35,064-736-8214,남동구→유성구 (LGU+)
고영진,740426-1191254,충청북도 철원군 선릉가 659 (성진김이마을),070-2543-1832,노원구→유성구 (SKT)
송미숙,610808-2998235,대구광역시 중랑구 가락로 61,055-018-3647,노원구→성북구 (SKT)
오영길,560107-1924758,경상남도 춘천시 오금가 922,054-775-4584,노원구→유성구 (LGU+)
이준호,021031-1534574,대구광역시 동작구 서초대가 247-94 (준혁최읍),019-717-2173,송파구→서초구 (KT)
안정웅,011230-1690016,경기도 용인시 수지구 역삼길 932,016-362-1659,남동구→유성구 (KT)
이영철,620213-2376967,전라남도 예산군 언주835거리 126,063-773-2643,성북구→노원구 (SKT)
최선영,670924-1280564,강원도 안산시 단원구 백제고분702길 166-8 (영진배박마을),063-137-5298,유성구→송파구 (SKT)
박미정,560319-2140666,대구광역시 동구 개포083길 272,010-7978-8897,수성구→해운대구 (SKT)
김정호,900925-1881975,대전광역시 동대문구 가락가 207 (예준이리),017-199-5171,남동구→유성구 (SKT)
문진호,990403-1454278,서울특별시 강동구 가락길 680,02-1437-4830,남동구→수성구 (SKT)
김경숙,751223-2999924,강원도 고양시 덕양구 학동126로 119-27 (상훈임리),061-720-1911,서초구→남동구 (LGU+)
이민수,631231-1415076,서울특별시 양천구 삼성가 948-80,070-3049-3665,성북구→수성구 (LGU+)
김병철,871218-2864201,부산광역시 광진구 역삼1거리 700 (수진김이동),011-522-9462,서초구→남동구 (SKT)
류병철,971221-2321659,울산광역시 서구 가락로 611 (서준한박동),033-371-2436,성북구→수성구 (SKT)
최유진,740715-1640299,충청남도 수원시 팔달구 학동202가 127-47,016-273-8740,서초구→수성구 (KT)
강시우,910731-2242239,울산광역시 마포구 선릉길 881-37,064-715-5420,강남구→해운대구 (LGU+)
오서준,670708-1973390,서울특별시 동작구 개포97거리 638-9,054-795-5462,강남구→남동구 (KT)
김지현,611005-1578621,세종특별자치시 마포구 봉은사로 788-16 (도현김리),010-3176-4172,수성구→해운대구 (KT)
김건우,591001-2486244,세종특별자치시 성동구 석촌호수로 722 (경숙김동),061-713-0735,노원구→유성구 (SKT)
김준호,730313-1814263,세종특별자치시 도봉구 개포길 26 (서연김마을),064-757-6694,해운대구→유성구 (KT)
김영호,711021-2722899,경상북도 동두천시 강남대66길 600-9,064-732-7000,송파구→노원구 (SKT)
이영자,700815-2460971,서울특별시 강동구 봉은사로 498-86 (서준김김면),011-388-1949,남동구→서초구 (KT)
김현준,580219-2128783,경기도 오산시 석촌호수거리 952,055-987-3137,강남구→해운대구 (SKT)
임지원,740411-1998746,부산광역시 마포구 봉은사3가 497-62 (영철류권리),042-389-9499,해운대구→남동구 (KT)
지영희,550713-2783238,대구광역시 북구 오금0길 528 (정숙박김동),061-020-4181,노원구→강남구 (SKT)
임정훈,831207-1597126,충청북도 부천시 원미구 반포대로 641 (채원박송동),010-6448-2217,송파구→강남구 (KT)
양옥순,920523-1364650,경상남도 화천군 반포대8길 266,010-0675-7123,남동구→수성구 (LGU+)
김예준,590613-2494763,대구광역시 구로구 오금429가 155,062-697-0409,성북구→남동구 (SKT)
오상훈,950204-1589368,강원도 광주시 도산대83길 691-89 (정웅이동),062-962-4096,노원구→유성구 (SKT)
이은영,740509-1107704,전라북도 금산군 압구정78거리 455,02-2851-6225,수성구→남동구 (LGU+)
김은정,681025-2817659,경기도 화천군 강남대가 234,016-062-4672,성북구→서초구 (KT)
권영희,840223-2389913,경기도 부여군 학동거리 850-15 (종수권마을),017-236-1337,수성구→남동구 (LGU+)
손순자,041024-2787991,광주광역시 노원구 개포거리 369-36,052-724-1916,남동구→해운대구 (LGU+)
김병철,690712-1642421,울산광역시 서대문구 서초중앙가 130,019-498-9808,강남구→성북구 (KT)
백경숙,750321-2813824,강원도 군포시 반포대거리 869-14,044-592-6648,강남구→노원구 (KT)
장우진,010615-2372028,제주특별자치도 속초시 서초대94로 603 (현주송김동),016-292-0753,유성구→성북구 (SKT)
이정자,720911-1711344,세종특별자치시 용산구 오금039가 지하432,053-362-1894,해운대구→유성구 (LGU+)
조성훈,550305-1819656,광주광역시 동구 양재천거리 301,055-648-9667,성북구→수성구 (LGU+)
이시우,630113-2986486,대전광역시 마포구 서초중앙58로 802-40 (현숙김박마을),02-6235-4662,노원구→송파구 (KT)
김영자,900706-2202344,부산광역시 서대문구 백제고분530로 877,042-122-4276,송파구→수성구 (SKT)
박은지,700816-1812730,전라남도 금산군 개포로 182,051-115-8488,서초구→남동구 (SKT)
지경숙,001127-2334176,부산광역시 강서구 서초중앙782길 지하178,011-957-0472,남동구→성북구 (LGU+)
이수민,630225-2489737,강원도 평택시 역삼로 258 (예진손면),044-659-6807,남동구→노원구 (SKT)
우은주,730729-1593393,대구광역시 도봉구 봉은사길 900-33 (은정구이동),018-644-5475,서초구→노원구 (KT)
문지현,580910-1624788,충청남도 이천시 양재천979로 923-51,043-342-7203,유성구→남동구 (KT)
최영미,630609-2156688,세종특별자치시 은평구 가락로 803,055-304-5306,송파구→남동구 (KT)
안서윤,910618-2529068,전라북도 부여군 삼성길 37,019-181-6778,성북구→송파구 (LGU+)
배준혁,720524-2850432,전라북도 오산시 오금44가 216,010-5179-9378,서초구→노원구 (KT)
윤재호,010317-2761685,인천광역시 관악구 테헤란가 677 (지연서송마을),011-698-8290,수성구→강남구 (KT)
민영수,900821-1574012,강원도 의왕시 오금4가 830-12 (예원김김읍),010-3972-8339,해운대구→송파구 (SKT)
김미영,870925-1613358,경기도 여주시 석촌호수길 888-66 (예은최읍),042-210-1023,송파구→성북구 (KT)
김도윤,810528-2522988,경상북도 수원시 장안구 도산대로 688 (예은김최면),043-561-4038,성북구→유성구 (SKT)
이상호,021123-1139557,세종특별자치시 강북구 잠실235거리 324,018-100-3076,해운대구→유성구 (LGU+)
김지은,690103-1437864,울산광역시 양천구 삼성로 444 (지훈김김리),054-411-3407,해운대구→강남구 (LGU+)
김은영,011028-1757128,세종특별자치시 중구 영동대길 562-26 (보람이오마을),016-626-9708,해운대구→남동구 (LGU+)
이영호,000725-2427252,세종특별자치시 구로구 백제고분5로 440,042-571-9760,서초구→성북구 (KT)
김경자,590321-2275133,전라남도 홍천군 개포로 지하81 (윤서나마을),054-217-5585,강남구→수성구 (KT)
김예지,690811-2578073,대구광역시 강서구 개포211길 624-92,011-626-4222,노원구→수성구 (LGU+)
박옥순,580730-2820141,광주광역시 송파구 강남대1거리 498,031-568-2092,수성구→노원구 (KT)
문영식,541014-2886553,서울특별시 용산구 언주564로 217,041-472-8289,송파구→성북구 (KT)
오주원,550115-1339513,세종특별자치시 구로구 역삼거리 93,041-616-8507,송파구→남동구 (KT)
안진우,870701-1718337,부산광역시 성동구 압구정271로 438,032-053-7092,송파구→서초구 (LGU+)
김도윤,760920-2845652,서울특별시 종로구 강남대189거리 716 (영식윤안마을),062-698-9365,강남구→성북구 (LGU+)
김진호,931105-2908713,강원도 부여군 서초중앙길 85-28 (도현이읍),054-896-3217,강남구→서초구 (LGU+)
김춘자,950208-1785315,세종특별자치시 강북구 삼성길 62 (지아구이리),062-398-3448,강남구→송파구 (KT)
최현주,701230-2565897,경상북도 서천군 개포8로 55-58,062-406-5795,서초구→수성구 (SKT)
이승민,650415-2835962,경기도 계룡시 잠실거리 44-64,017-409-1311,해운대구→강남구 (KT)
박예진,740725-2541315,대구광역시 노원구 반포대602길 735-80,054-354-1201,서초구→수성구 (LGU+)
김하윤,941024-1539170,서울특별시 종로구 선릉로 114 (영길오김면),017-947-9507,노원구→서초구 (KT)
곽영식,931018-2219550,충청북도 횡성군 영동대거리 지하936,044-100-6493,성북구→해운대구 (KT)
황경숙,891221-1915749,서울특별시 강북구 테헤란3가 지하519,016-411-8491,노원구→해운대구 (SKT)
진순옥,860302-2837606,제주특별자치도 광주시 언주95길 398,032-006-7990,남동구→송파구 (SKT)
이영자,010525-1674765,부산광역시 금천구 반포대40길 274,019-233-9449,해운대구→노원구 (SKT)
민채원,551030-2345896,경상남도 홍천군 역삼50길 849-2 (명숙민면),051-262-4178,강남구→송파구 (KT)
최재현,880708-1975804,충청남도 고양시 일산서구 삼성1로 41-83,061-053-0886,성북구→송파구 (LGU+)
김민서,001029-1917392,울산광역시 서대문구 언주9로 981,062-598-8759,서초구→송파구 (LGU+)
김은서,850120-2775636,전라북도 안산시 도산대3가 906-89 (현준이읍),032-477-0920,성북구→남동구 (KT)
김지원,970919-2586830,제주특별자치도 파주시 논현가 663-78,070-2158-1897,서초구→해운대구 (KT)
임윤서,761125-1993647,울산광역시 중랑구 삼성819거리 707-61,042-168-8005,수성구→유성구 (SKT)
박지연,900613-2874415,강원도 천안시 서북구 백제고분8가 283,053-401-8227,서초구→강남구 (KT)
김영철,860224-1993385,충청남도 광명시 도산대거리 286-63,051-328-1165,송파구→유성구 (KT)
오정자,890209-2558976,대구광역시 중구 도산대거리 873,041-277-5213,남동구→서초구 (LGU+)
김지후,930704-2954551,울산광역시 노원구 선릉거리 3,018-059-3777,송파구→서초구 (SKT)
배동현,820308-2519692,강원도 청주시 흥덕구 가락길 지하92,061-174-6902,남동구→성북구 (SKT)
곽서윤,021206-2938754,광주광역시 성북구 학동662길 지하84,043-167-0805,송파구→서초구 (SKT)
손현우,760131-1829987,경상남도 괴산군 개포길 87 (종수김최면),052-076-6349,강남구→해운대구 (LGU+)
오윤서,720425-1536236,울산광역시 동대문구 논현2가 904 (병철주면),043-625-8542,성북구→노원구 (LGU+)
박영일,991225-1741018,세종특별자치시 동작구 백제고분가 742-40,019-199-6433,수성구→강남구 (SKT)
송춘자,910706-1606545,세종특별자치시 동대문구 오금5길 267 (하윤김읍),032-158-7605,서초구→성북구 (SKT)
이채원,940624-2148205,전라북도 철원군 반포대94거리 991-31 (주원박고리),055-986-1634,남동구→유성구 (KT)
김서준,551129-1838793,대전광역시 서구 서초대5길 147,053-596-6472,노원구→해운대구 (LGU+)
유건우,990227-2644315,대구광역시 성북구 석촌호수4길 956-37 (혜진곽마을),011-332-6145,서초구→성북구 (LGU+)
김지원,771115-1605339,충청남도 태안군 언주0로 508-68 (지혜김김면),070-8718-4523,유성구→송파구 (SKT)
주서준,000628-1112210,제주특별자치도 홍천군 강남대701가 891 (영자이면),070-2377-7296,송파구→노원구 (LGU+)
이병철,780826-2273438,광주광역시 중구 가락거리 955,010-1055-8000,성북구→수성구 (KT)
박정순,911226-1446968,광주광역시 동대문구 반포대316로 233-74,019-136-8172,강남구→남동구 (SKT)
김서연,860711-2522866,대구광역시 구로구 역삼092가 지하353 (예지주면),018-332-2273,서초구→노원구 (KT)
김옥순,851014-2940183,광주광역시 은평구 언주32길 90-65,054-076-1087,성북구→서초구 (LGU+)
김예준,941219-2568784,대구광역시 서구 개포로 504,033-261-5838,서초구→노원구 (SKT)
강보람,590509-1207629,경상북도 제천시 잠실67길 772 (서준김주읍),019-222-8019,유성구→강남구 (SKT)
엄성현,050416-1966028,충청북도 안산시 상록구 개포6길 381-84,031-637-3118,남동구→해운대구 (KT)
이주원,681105-2457411,경기도 정선군 언주418거리 910,018-136-2608,강남구→남동구 (SKT)
장서윤,970107-2448098,전라남도 의정부시 삼성거리 371 (영철김김동),054-164-1195,성북구→수성구 (LGU+)
이영호,881223-2219562,충청남도 논산시 반포대752로 831 (광수김읍),018-019-7121,해운대구→강남구 (KT)
김상철,670317-2472390,경상북도 횡성군 개포9가 169-55 (지원김안읍),041-760-7598,남동구→유성구 (LGU+)
박유진,721002-1148001,전라북도 고양시 백제고분로 317,043-089-5231,성북구→송파구 (KT)
김영환,720924-2212157,대전광역시 강서구 강남대97거리 729,031-026-8764,해운대구→남동구 (SKT)
장시우,750325-1993590,경상남도 용인시 처인구 선릉길 지하912 (지훈진김면),031-063-5537,해운대구→노원구 (SKT)
최성훈,680903-1851606,충청북도 횡성군 학동9거리 지하583 (영수김한마을),062-025-5128,서초구→성북구 (SKT)
이상철,700124-1764000,대전광역시 동작구 서초대895가 424,018-634-5443,서초구→노원구 (LGU+)
김도현,000706-2790441,울산광역시 영등포구 백제고분길 593-58,052-394-6408,노원구→송파구 (LGU+)
홍정자,630709-2104548,경기도 논산시 서초대29가 686,010-8941-3210,강남구→성북구 (LGU+)
권영희,571126-2633025,강원도 평창군 서초중앙거리 357-25,052-655-7922,송파구→해운대구 (KT)
김성민,830907-1506224,울산광역시 용산구 백제고분길 843-4 (지원양동),041-137-5658,수성구→성북구 (LGU+)
이순옥,711227-2738576,경기도 공주시 학동931거리 306 (영호이리),044-113-8850,해운대구→수성구 (LGU+)
이보람,970119-2459513,충청북도 수원시 영통구 논현거리 188,051-631-0437,성북구→송파구 (SKT)
이지아,890313-1532794,제주특별자치도 수원시 팔달구 잠실거리 882 (준영최김동),017-774-1743,노원구→남동구 (LGU+)
이지현,571005-2846454,제주특별자치도 포천시 역삼길 967,051-665-2752,노원구→해운대구 (LGU+)
김현준,860802-1319899,경기도 광명시 테헤란거리 111-28,043-030-3346,남동구→유성구 (LGU+)
김정수,881219-1844904,경상남도 포천시 반포대가 625 (옥자이배동),042-453-0123,송파구→유성구 (LGU+)
최선영,790826-1897730,경기도 고양시 일산동구 테헤란2거리 970,011-017-2224,노원구→성북구 (SKT)
이시우,990805-2806995,전라북도 태안군 봉은사75거리 638 (채원김면),017-838-7272,노원구→남동구 (LGU+)
문도윤,620918-2947568,대전광역시 서대문구 잠실48길 256,017-379-1212,노원구→서초구 (KT)
구민석,780218-1499371,인천광역시 강남구 잠실90로 884-63,052-039-2519,강남구→서초구 (KT)
강정자,631114-1379947,부산광역시 강서구 역삼길 969-50 (영철최김동),054-422-1626,남동구→수성구 (KT)
임선영,990813-1980155,충청남도 안성시 잠실길 302 (진호배김마을),064-778-9950,남동구→해운대구 (KT)
김민준,980826-1476105,제주특별자치도 청주시 흥덕구 학동537가 407 (숙자김하마을),070-5634-2777,서초구→남동구 (SKT)
김지훈,830917-2349136,울산광역시 용산구 영동대129길 587,070-2294-1156,남동구→강남구 (LGU+)
김성수,930530-2506380,충청남도 태백시 반포대길 847 (영미곽김리),032-549-8085,수성구→강남구 (SKT)
김동현,880303-1879794,서울특별시 강북구 역삼로 871,041-121-5481,해운대구→노원구 (SKT)
박채원,820701-1764575,경상북도 용인시 봉은사로 269 (준혁민읍),018-006-2987,수성구→해운대구 (LGU+)
박상호,701012-1408467,울산광역시 관악구 양재천41가 304-85 (상호김리),041-213-2041,송파구→서초구 (SKT)
김상훈,651105-1282237,광주광역시 송파구 서초대117가 603,016-994-9812,노원구→서초구 (LGU+)
김지민,551018-2142608,경상북도 동해시 압구정200로 766-21,010-5386-3105,남동구→수성구 (SKT)
이보람,670329-1268746,제주특별자치도 제천시 영동대길 676-73,016-007-6862,남동구→강남구 (LGU+)
권현숙,980712-2588983,제주특별자치도 고양시 덕양구 오금3가 518,053-186-2671,송파구→강남구 (LGU+)
최현우,600428-1438302,인천광역시 광진구 논현길 102-87,010-8352-7918,강남구→수성구 (LGU+)
오정훈,021009-2928278,울산광역시 북구 서초중앙10가 172,02-8814-3192,노원구→수성구 (LGU+)
박승민,780410-1922116,대전광역시 영등포구 석촌호수384거리 753-87,02-2665-6862,수성구→해운대구 (LGU+)
이지은,611102-1645895,충청남도 용인시 처인구 삼성거리 280 (숙자김박면),041-990-7472,노원구→송파구 (KT)
이은서,050818-2669460,세종특별자치시 영등포구 서초중앙8로 469,052-748-5994,유성구→서초구 (LGU+)
김영일,950921-2331942,부산광역시 마포구 언주78거리 751 (혜진이마을),010-0445-0928,수성구→유성구 (KT)
양순옥,630701-2407835,대구광역시 서대문구 반포대로 297,010-9008-2484,노원구→성북구 (KT)
김상현,830225-1220294,경기도 연천군 양재천883가 567,054-630-2750,수성구→노원구 (LGU+)
김정수,910706-1773462,강원도 논산시 가락0거리 100 (윤서김이마을),018-467-9087,해운대구→강남구 (LGU+)
백은지,811108-2499898,경상북도 홍성군 압구정로 382,019-103-4444,유성구→남동구 (KT)
최광수,790618-2125905,울산광역시 금천구 영동대4로 807-17 (정식이마을),061-725-6222,수성구→노원구 (LGU+)
김상호,020422-2145981,세종특별자치시 동구 강남대가 923 (재호이안면),016-396-5213,해운대구→유성구 (SKT)
이예지,581215-1200617,전라북도 연천군 논현2로 지하759,044-622-1173,노원구→강남구 (KT)
윤은주,780530-1321020,경상북도 단양군 잠실839거리 730-87,053-852-2942,해운대구→성북구 (LGU+)
이정희,700922-1315565,강원도 화천군 서초중앙91가 345 (미정윤면),052-914-7744,유성구→서초구 (LGU+)
권재현,721220-1124906,전라북도 속초시 봉은사15거리 205-34,052-930-5378,수성구→강남구 (SKT)
김미정,651120-1176806,부산광역시 강남구 언주길 526-61,064-782-8152,송파구→수성구 (KT)
박건우,961220-1702891,충청북도 용인시 기흥구 삼성길 709-40 (정식장남읍),063-801-8915,남동구→성북구 (KT)
박성민,990213-2573039,강원도 증평군 반포대629가 318 (영길이마을),016-946-6450,유성구→성북구 (LGU+)
최지우,891211-2117711,서울특별시 금천구 서초중앙9로 853,018-521-1896,서초구→강남구 (SKT)
이수빈,871217-1892682,전라북도 증평군 백제고분979거리 575 (정숙손이마을),054-828-1902,강남구→송파구 (LGU+)
박영환,920126-2627262,대구광역시 도봉구 가락가 15-43,011-844-5143,남동구→수성구 (KT)
권민재,050710-1395192,부산광역시 동대문구 가락로 515,053-681-1939,유성구→성북구 (SKT)
박유진,681023-1597012,서울특별시 북구 백제고분길 480 (주원김리),061-933-5158,노원구→해운대구 (KT)
김정희,031020-1883028,대전광역시 중랑구 오금가 125-74,044-910-3829,노원구→남동구 (SKT)
이은지,701108-1412534,인천광역시 송파구 도산대085로 44,052-502-4373,수성구→강남구 (LGU+)
백진우,950501-1229221,충청남도 수원시 장안구 테헤란13거리 411 (영길김마을),031-058-5615,강남구→성북구 (KT)
이정숙,590302-1419491,울산광역시 서구 언주792거리 104 (재현이장동),018-283-7727,수성구→해운대구 (KT)
김예준,050813-2777308,경상북도 파주시 언주28로 263-9 (민준손강리),053-358-4640,송파구→해운대구 (LGU+)
차경희,881130-1331512,대구광역시 강서구 압구정거리 430,043-628-1444,남동구→해운대구 (LGU+)
박영환,841221-1290167,경기도 아산시 석촌호수6가 지하267,019-909-2288,강남구→노원구 (LGU+)
이은영,771214-1404771,대전광역시 강동구 봉은사358가 127 (영환김윤리),010-8116-4034,서초구→수성구 (LGU+)
